words,image,words_id,英雄
【被动技能】\n拥有较高的物理抗性。,120001501,10122,苏丹
【被动技能】\n暂未开放，敬请期待,120001501,10123,苏丹
【被动技能】\n隐身。升阶后增加隐身的时间。,140007601,10131,费雷斯
【被动技能】\n隐身时间延长。,140007601,10132,费雷斯
【被动技能】\n暂未开放，敬请期待,140007601,10133,费雷斯
【被动技能】\n嗜血。升阶后降低嗜血时受到的伤害。,170004301,10141,欧克
【被动技能】\n嗜血，嗜血时受到伤害降低。,170004301,10142,欧克
【被动技能】\n暂未开放，敬请期待,170004301,10143,欧克
【被动技能】\n魔法抗性高。升阶后受击可释放冰冻魔法，降低敌人攻速。,130004501,10151,恩查德
【被动技能】\n魔法抗性高，受到一定攻击次数后释放冰冻魔法，降低敌人攻速。,130004501,10152,恩查德
【被动技能】\n暂未开放，敬请期待,130004501,10153,恩查德
【被动技能】\n初级范围伤害抗性。升阶后进一步降低范围伤害。,150005301,10161,娜莎塔
【被动技能】\n高级范围伤害抗性。,150005301,10162,娜莎塔
【被动技能】\n暂未开放，敬请期待,150005301,10163,娜莎塔
【被动技能】\n初级嘲讽。升阶后提升嘲讽效果。,160005601,10171,米诺斯
【被动技能】\n高级嘲讽。,160005601,10172,米诺斯
【被动技能】\n暂未开放，敬请期待,160005601,10173,米诺斯
【被动技能】\n死亡后释放闪电眩晕最近的敌人。升阶后增加眩晕时间。,130005201,10181,阿特拉斯
【被动技能】\n死亡后释放闪电眩晕最近的敌人。升阶后增加眩晕时间。,130005201,10182,阿特拉斯
【被动技能】\n暂未开放，敬请期待,130005201,10183,阿特拉斯
【被动技能】\n死亡时释放毒云石化周围敌人。升阶后增加石化时间。,160004201,10191,克瑟娜
【被动技能】\n死亡时释放毒云石化周围敌人。升阶后增加石化时间。,160004201,10192,克瑟娜
【被动技能】\n暂未开放，敬请期待,160004201,10193,克瑟娜
【被动技能】\n每受到一定次数伤害，治疗周围友军。升阶后提升治疗量。,120005201,10201,塞拉斯提亚
【被动技能】\n每受到一定次数伤害，治疗周围友军。升阶后提升治疗量。,120005201,10202,塞拉斯提亚
【被动技能】\n暂未开放，敬请期待,120005201,10203,塞拉斯提亚
【被动技能】\n低血量时发怒，快速奔跑。升阶后触发的血量值提高。,170006601,10211,基克洛普斯
【被动技能】\n低血量时发怒，快速奔跑。升阶后触发的血量值提高。,170006601,10212,基克洛普斯
【被动技能】\n暂未开放，敬请期待,170006601,10213,基克洛普斯
【被动技能】\n首次阵亡后可复活，复活后所受伤害增加。升阶后伤害增加幅度减小。,180007601,10221,菲尼克斯
【被动技能】\n首次阵亡后可复活，复活后所受伤害增加。升阶后伤害增加幅度减小。,180007601,10222,菲尼克斯
【被动技能】\n暂未开放，敬请期待,180007601,10223,菲尼克斯
【被动技能】\n每隔一段时间驱散周围友军身上负面效果。升阶后缩短触发间隔。,120006401,10231,阿拉丁
【被动技能】\n每隔一段时间驱散周围友军身上负面效果。升阶后缩短触发间隔。,120006401,10232,阿拉丁
【被动技能】\n暂未开放，敬请期待,120006401,10233,阿拉丁
【被动技能】\n低血量时变为蝙蝠（高速移动，持续回血）数秒。升阶后提升移速。,150004401,10241,拉古德伯爵
【被动技能】\n低血量时变为蝙蝠（高速移动，持续回血）数秒。升阶后提升移速。,150004401,10242,拉古德伯爵
【被动技能】\n暂未开放，敬请期待,150004401,10243,拉古德伯爵
【被动技能】\n死亡时对敌人释放怨灵，一定时间内清空能量。升阶后时间延长。,150005101,10251,尼克门萨
【被动技能】\n死亡时对敌人释放怨灵，一定时间内清空能量。升阶后时间延长。,150005101,10252,尼克门萨
【被动技能】\n暂未开放，敬请期待,150005101,10253,尼克门萨
【被动技能】\n每隔数秒将吸取死亡能量恢复自身生命。升阶后缩短时间间隔。,150006301,10261,布莱克雷
【被动技能】\n每隔数秒将吸取死亡能量恢复自身生命。升阶后缩短时间间隔。,150006301,10262,布莱克雷
【被动技能】\n暂未开放，敬请期待,150006301,10263,布莱克雷
【被动技能】\n每受到一定次数攻击将降低自身所受伤害。升阶后提升减免上限。,150007601,10271,桑德罗
【被动技能】\n每受到一定次数攻击将降低自身所受伤害。升阶后提升减免上限。,150007601,10272,桑德罗
【被动技能】\n暂未开放，敬请期待,150007601,10273,桑德罗
死亡时提供少量法力。,,20011,
死亡时提供较多法力。,,20012,
可以通过飞行走捷径。飞行速度1级,,20021,
可以通过飞行走捷径，飞行速度2级。,,20022,
可以通过飞行走捷径。飞行速度较慢。,,20023,
行走一段时间后提盾行走，速度较慢。,,20031,
行走一段时间后提盾行走，速度中等。,,20032,
拥有较高的魔法抗性，害怕物理攻击。,,20041,
拥有较高的魔法抗性。,,20042,
破盾突进。,,20051,
破盾突进，突进时受伤降低。,,20052,
移动速度较快的轻骑兵。,,20053,
受到一定攻击次数后提盾行走。,,20061,
破盾突进。,,20062,
死亡时奉献自己回复周围友军的生命值。,,20063,
格挡,,20071,
格挡时间较长,,20072,
初级魔抗,,20081,
高级魔抗,,20082,
死亡时提供较多法力,,20091,
护盾,,20101,
强化护盾,,20102,
破盾时对周围塔防英雄降速,,20103,
格挡,,20111,
护盾,,20112,
致盲周围的塔防英雄,,20113,
拥有较高的物理抗性，害怕魔法攻击,,20121,
拥有较高的物理抗性,,20122,
拥有较高的物理抗性，害怕魔法攻击,,20123,
隐身,,20131,
隐身时间较长,,20132,
隐身,,20133,
嗜血,,20141,
嗜血时间较长,,20142,
嗜血,,20143,
魔法抗性，闪现,,20151,
较高的魔法抗性,,20152,
拥有范围伤害抗性,,20161,
拥有较高的物理抗性,,20162,
愤怒奔跑,,20171,
低血量时石化（高抗性、持续回血，仅生效一次）,,20181,
魔法抗性，闪现,,20182,
物理抗性高，魔免,,20183,
行动一段时间后向领主射击,,20191,
愤怒奔跑,,20192,
死亡后为周围友军加血,,20201,
低血量时发怒，快速奔跑,,20211,
死亡后复活一次,,20221,
漂浮，死亡时提供少量法力,,20231,
低血量时变为蝙蝠数秒，仅生效一次,,20241,
一段时间后攻击敌人，降低攻速，恢复自身生命,,20251,
持续加速冲锋,,20261,
破盾后速度上升，受到伤害增加,,20271,
【主动技能】\n直接向对方领主进行射击，造成伤害，升阶后伤害提高。,110002101,30011,克洛斯
【主动技能】\n嘲讽一个离自己最近的敌人，升阶后提升嘲讽时间。,170005501,30021,格里芬
【主动技能】\n立即使自己进入防御状态，升阶后防御状态移动速度提高。,110003601,30031,贝林
【主动技能】\n原地祈祷，回复范围内友军的生命值，升阶后提升回复量。,110005501,30041,米斯特
【主动技能】\n立即进入冲锋姿态，升阶后降低冲锋时受到的伤害。,120001401,30051,罗兰
【主动技能】\n立即回复周围友军的生命值，升阶后提升回复量。,120005501,30061,安洁
【主动技能】\n变为格挡状态，嘲讽离自己最近的敌人，升阶后降低格挡时所受伤害。,110004301,30071,布莱德瓦登
【主动技能】\n提升周围友军魔抗一段时间，升阶后增加魔抗时间。,160007601,30081,蛮锤
【主动技能】\n直接向对方领主进行射击，造成伤害，升阶后伤害提高。,110002201,30091,莱戈拉斯
【主动技能】\n立即开启护盾，升阶后提升护盾持续时间。,120003501,30101,大地之冠
【主动技能】\n提升周围友军全属性抗性，升阶后增加抗性时间。,130005601,30111,尼德霍格
【主动技能】\n提升周围友军物理属性抗性，升阶后增加提升效果。,120007601,30121,苏丹
【主动技能】\n使自己立刻进入隐身状态，升阶后提升隐身时的移动速度。,140007301,30131,费雷斯
【主动技能】\n使周围友军获得移动速度提升的效果，升阶后进一步提升移动速度。,170004501,30141,欧克
【主动技能】\n释放冰冻魔法冰冻一个离自己最近的敌人，升阶后提升冰冻时间。,130004301,30151,恩查德
【主动技能】\n为周围友军提供群体伤害减免，升阶后提升减免效果。,150006401,30161,娜莎塔
【主动技能】\n使周围友军清除和免疫所有buff效果，升阶后提升免疫时间。,120002601,30171,米诺斯
【主动技能】\n释放闪电，眩晕全部敌人，升阶后提升眩晕时间。,130004201,30181,阿特拉斯
【主动技能】\n石化离自己最近的敌人，升阶后提升石化时间。,160004301,30191,克瑟娜
【主动技能】\n释放暴风雪，冰冻周围敌人，升阶后提升冰冻时间。,120006301,30201,塞拉斯提亚
【主动技能】\n投掷石块砸晕最近的敌人，升阶后提升眩晕时间。,170006101,30211,基克洛普斯
【主动技能】\n开启火盾，降低周围敌人攻击，并减免所受伤害，升阶后减免增加。,180007501,30221,菲尼克斯
【主动技能】\n封印所有敌人技能，升阶后提升封印时间。,120006601,30231,阿拉丁
【主动技能】\n降低最近的敌人攻速，并持续恢复自身生命，升阶后提升恢复时间。,150004201,30241,拉古德伯爵
【主动技能】\n降低最近的敌人攻击并封印技能和能量回复，升阶后提升时间。,150005401,30251,尼克门萨
【主动技能】\n增加周围友军的移速并持续回血，升阶后提升BUFF时间。,190003301,30261,布莱克雷
【主动技能】\n释放哀嚎眩晕周围敌人，升阶后提升眩晕时间。,150007401,30271,桑德罗
